Width: 100, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 865 seconds
Width: 100, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 802 seconds
Width: 100, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 433 seconds
Width: 100, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 109 seconds
Width: 100, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 469 seconds
Width: 200, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 1504 seconds
Width: 200, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 1783 seconds
Width: 200, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 1603 seconds
Width: 200, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 1639 seconds
Width: 200, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 1396 seconds
Width: 300, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 2683 seconds
Width: 300, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 2062 seconds
Width: 300, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 2503 seconds
Width: 300, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 2449 seconds
Width: 300, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 2215 seconds
Width: 400, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 3052 seconds
Width: 400, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 3583 seconds
Width: 400, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 3331 seconds
Width: 400, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 2791 seconds
Width: 400, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 2755 seconds
Width: 500, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 3619 seconds
Width: 500, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 3709 seconds
Width: 500, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 4078 seconds
Width: 500, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 4006 seconds
Width: 500, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 3943 seconds
Width: 600, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 4591 seconds
Width: 600, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 5059 seconds
Width: 600, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 4798 seconds
Width: 600, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 5392 seconds
Width: 600, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 4555 seconds
Width: 700, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 5716 seconds
Width: 700, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 6013 seconds
Width: 700, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 5536 seconds
Width: 700, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 5914 seconds
Width: 700, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 6076 seconds
Width: 800, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 7192 seconds
Width: 800, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 6373 seconds
Width: 800, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 7075 seconds
Width: 800, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 6553 seconds
Width: 800, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 7174 seconds
Width: 900, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 7237 seconds
Width: 900, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 7777 seconds
Width: 900, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 8101 seconds
Width: 900, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 7552 seconds
Width: 900, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 7543 seconds
Width: 1000, Probability: 0.1, Result: Infiltrator succeeded, Time taken: 8740 seconds
Width: 1000, Probability: 0.3, Result: Infiltrator succeeded, Time taken: 8137 seconds
Width: 1000, Probability: 0.5, Result: Infiltrator succeeded, Time taken: 8866 seconds
Width: 1000, Probability: 0.7, Result: Infiltrator succeeded, Time taken: 8542 seconds
Width: 1000, Probability: 0.9, Result: Infiltrator succeeded, Time taken: 8146 seconds
